Home,WINorLOSS,TeamPoints,OpponentPoints,FieldGoals,FieldGoalsAttempted,FieldGoals.,X3PointShots,X3PointShotsAttempted,X3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls
1,1,114,88,37,78,0.474,10,29,0.345,30,35,0.857,8,44,25,9,6,9,20,31,75,0.413,8,30,0.267,18,21,0.857,7,38,14,4,4,15,25
0,0,94,98,36,78,0.462,9,27,0.33299999999999996,13,19,0.684,8,40,20,7,5,10,20,38,79,0.48100000000000004,7,19,0.368,15,24,0.625,7,39,21,4,4,10,17
0,0,112,123,42,96,0.43799999999999994,9,30,0.3,19,23,0.826,14,51,22,6,3,14,31,37,80,0.46299999999999997,9,24,0.375,40,49,0.816,10,43,25,8,10,11,21
0,0,116,118,41,91,0.451,12,30,0.4,22,27,0.815,16,54,15,6,9,9,21,41,86,0.47700000000000004,15,39,0.385,21,30,0.7,9,43,27,6,3,9,20
1,1,121,106,43,89,0.483,12,36,0.33299999999999996,23,29,0.7929999999999999,6,49,23,8,11,10,20,40,99,0.40399999999999997,9,24,0.375,17,24,0.708,15,53,18,7,4,12,23
0,1,109,94,47,83,0.5660000000000001,7,24,0.292,8,11,0.727,6,42,30,5,5,12,17,34,83,0.41,7,19,0.368,19,22,0.8640000000000001,9,38,18,7,2,11,13
1,1,103,95,36,81,0.444,8,26,0.308,23,29,0.7929999999999999,11,53,21,5,4,16,18,38,92,0.413,7,24,0.292,12,21,0.5710000000000001,13,39,18,11,5,10,26
0,0,86,96,33,85,0.38799999999999996,3,20,0.15,17,21,0.81,16,47,19,10,2,18,21,39,86,0.45299999999999996,5,18,0.278,13,14,0.929,9,42,21,11,6,15,22
0,1,122,118,40,90,0.444,9,28,0.321,33,41,0.805,17,44,20,14,4,19,28,37,81,0.457,9,25,0.36,35,40,0.875,14,44,24,13,6,22,29
0,0,98,120,36,85,0.424,10,30,0.33299999999999996,16,19,0.8420000000000001,9,36,18,10,4,15,15,45,82,0.5489999999999999,12,28,0.429,18,22,0.818,10,47,27,9,5,15,15
0,0,100,121,38,90,0.42200000000000004,8,28,0.28600000000000003,16,19,0.8420000000000001,13,36,23,11,6,18,22,46,85,0.541,10,21,0.47600000000000003,19,27,0.7040000000000001,11,46,35,11,8,18,16
0,1,97,95,36,83,0.434,6,20,0.3,19,25,0.76,8,45,17,6,6,10,23,36,84,0.429,5,21,0.23800000000000002,18,26,0.6920000000000001,8,42,16,10,7,10,18
0,1,114,105,42,91,0.462,10,27,0.37,20,28,0.7140000000000001,12,55,24,6,11,16,18,41,96,0.42700000000000005,11,27,0.40700000000000003,12,19,0.632,9,46,23,7,9,12,23
1,1,109,98,37,72,0.514,9,22,0.409,26,36,0.722,7,43,13,7,2,16,17,38,84,0.452,11,26,0.423,11,13,0.846,8,36,17,10,2,12,26
0,0,91,107,37,100,0.37,6,26,0.231,11,16,0.688,13,55,20,5,4,16,19,41,92,0.446,8,29,0.276,17,22,0.773,8,51,22,9,6,10,16
0,0,94,108,30,85,0.353,7,28,0.25,27,32,0.8440000000000001,12,50,21,12,7,20,30,37,86,0.43,7,21,0.33299999999999996,27,38,0.711,10,50,16,12,13,17,25
1,0,100,128,38,100,0.38,10,37,0.27,14,17,0.8240000000000001,11,37,17,6,4,9,23,49,81,0.605,6,15,0.4,24,30,0.8,4,42,25,7,2,9,19
1,1,114,102,38,80,0.475,13,26,0.5,25,33,0.758,16,47,21,7,3,20,21,40,83,0.48200000000000004,3,19,0.158,19,22,0.8640000000000001,8,29,21,10,5,12,28
1,1,105,99,40,98,0.408,4,18,0.222,21,28,0.75,17,56,18,9,5,12,17,35,87,0.402,10,28,0.35700000000000004,19,21,0.905,11,44,15,6,4,12,22
0,0,90,93,34,88,0.386,7,28,0.25,15,21,0.7140000000000001,20,61,17,6,11,16,21,33,87,0.379,8,26,0.308,19,29,0.655,13,37,19,7,10,10,17
1,1,118,109,50,106,0.47200000000000003,8,27,0.29600000000000004,10,13,0.769,17,51,24,10,5,13,23,38,79,0.48100000000000004,10,21,0.47600000000000003,23,30,0.767,5,35,14,9,6,16,14
1,0,114,130,40,83,0.48200000000000004,6,24,0.25,28,36,0.778,12,43,20,7,8,19,23,46,87,0.529,13,31,0.419,25,35,0.7140000000000001,10,40,28,10,3,11,22
0,0,98,120,34,96,0.354,7,34,0.20600000000000002,23,30,0.767,20,47,16,10,2,15,22,42,73,0.575,13,20,0.65,23,28,0.821,6,40,27,4,9,22,24
1,1,116,105,41,88,0.466,12,23,0.522,22,31,0.71,12,48,21,10,4,12,13,41,86,0.47700000000000004,11,21,0.524,12,14,0.857,6,39,19,8,12,15,21
1,1,110,93,44,97,0.45399999999999996,10,24,0.41700000000000004,12,17,0.706,14,59,28,9,6,17,14,40,101,0.396,7,35,0.2,6,14,0.429,15,51,23,15,8,13,19
1,1,118,110,42,88,0.47700000000000004,6,21,0.28600000000000003,28,37,0.757,16,53,17,4,0,13,29,36,80,0.45,8,21,0.381,30,37,0.8109999999999999,7,35,17,10,1,10,26
1,1,109,106,39,76,0.513,15,22,0.682,16,23,0.696,6,42,20,5,7,14,17,43,93,0.462,9,22,0.409,11,13,0.846,8,33,22,8,4,7,18
0,0,109,114,34,86,0.395,11,29,0.379,30,32,0.938,12,40,11,9,7,12,25,39,79,0.494,10,25,0.4,26,35,0.743,9,45,19,9,7,14,19
0,0,111,118,37,87,0.425,9,35,0.257,28,35,0.8,11,47,14,10,5,19,30,44,89,0.494,5,21,0.23800000000000002,25,31,0.8059999999999999,9,45,28,10,7,17,26
0,0,89,104,33,82,0.402,2,22,0.091,21,30,0.7,13,49,19,4,2,15,21,42,86,0.488,7,25,0.28,13,16,0.813,5,37,24,6,2,8,20
1,0,121,126,44,85,0.518,10,25,0.4,23,30,0.767,12,39,16,4,1,17,25,47,85,0.5529999999999999,11,23,0.478,21,27,0.778,12,36,24,7,5,11,23
1,1,102,92,41,89,0.461,6,20,0.3,14,21,0.667,15,48,23,10,3,11,22,35,84,0.41700000000000004,6,19,0.316,16,20,0.8,13,41,15,8,8,15,16
1,1,112,104,43,86,0.5,8,23,0.348,18,24,0.75,12,43,23,7,7,12,20,36,75,0.48,9,20,0.45,23,28,0.821,7,36,15,9,2,12,17
0,1,122,104,44,89,0.494,10,22,0.455,24,34,0.706,13,44,30,13,6,13,27,33,71,0.465,12,24,0.5,26,30,0.867,4,32,20,6,6,18,23
0,1,123,102,47,88,0.534,14,25,0.56,15,19,0.789,10,47,33,10,1,18,22,37,81,0.457,5,20,0.25,23,30,0.767,6,32,15,10,10,14,20
1,1,110,94,41,82,0.5,10,26,0.385,18,25,0.72,13,49,23,7,4,14,21,35,85,0.41200000000000003,5,21,0.23800000000000002,19,23,0.826,9,35,16,9,2,12,22
1,0,95,111,37,87,0.425,4,21,0.19,17,31,0.5479999999999999,12,40,18,10,2,11,19,40,83,0.48200000000000004,15,33,0.455,16,21,0.762,9,46,28,8,8,16,22
1,1,122,97,48,88,0.545,4,16,0.25,22,30,0.733,18,54,26,7,8,16,17,37,87,0.425,8,25,0.32,15,17,0.882,6,25,19,8,4,9,23
0,0,125,137,47,94,0.5,11,30,0.36700000000000005,20,28,0.7140000000000001,15,41,27,15,3,16,21,50,79,0.633,20,39,0.513,17,21,0.81,2,36,32,8,4,19,23
0,1,92,91,37,85,0.435,6,23,0.261,12,14,0.857,11,48,17,10,7,17,21,33,80,0.413,10,29,0.345,15,19,0.789,8,39,23,12,4,14,16
0,1,114,106,43,102,0.42200000000000004,10,33,0.303,18,28,0.643,11,57,18,11,7,11,20,39,97,0.402,9,30,0.3,19,27,0.7040000000000001,11,53,24,9,8,14,22
1,0,95,100,33,81,0.40700000000000003,6,21,0.28600000000000003,23,27,0.852,13,46,21,7,3,18,21,37,85,0.435,9,27,0.33299999999999996,17,27,0.63,13,41,23,8,11,13,23
1,0,101,113,39,84,0.46399999999999997,12,31,0.387,11,12,0.917,7,42,19,10,5,24,20,37,77,0.48100000000000004,11,30,0.36700000000000005,28,32,0.875,3,37,20,18,5,16,13
1,1,110,79,40,84,0.47600000000000003,9,28,0.321,21,25,0.84,11,53,29,9,7,13,20,29,81,0.358,3,18,0.16699999999999998,18,26,0.6920000000000001,10,38,16,9,5,11,19
0,1,103,100,37,85,0.435,14,31,0.452,15,24,0.625,12,44,19,8,3,12,20,37,78,0.474,9,26,0.34600000000000003,17,21,0.81,7,38,21,7,5,13,18
0,0,99,120,34,92,0.37,7,30,0.233,24,33,0.727,22,48,13,1,3,9,26,43,83,0.518,8,18,0.444,26,31,0.8390000000000001,12,45,16,6,6,7,26
0,1,106,105,40,96,0.41700000000000004,6,25,0.24,20,22,0.909,18,54,19,7,3,12,19,40,84,0.47600000000000003,11,34,0.324,14,15,0.9329999999999999,4,42,22,6,4,12,16
0,1,100,98,37,86,0.43,7,22,0.318,19,25,0.76,18,54,22,7,4,17,21,38,86,0.442,5,20,0.25,17,25,0.68,11,35,24,12,3,11,17
1,0,105,111,43,101,0.426,8,25,0.32,11,17,0.647,14,51,20,10,8,12,24,39,85,0.45899999999999996,7,25,0.28,26,32,0.813,5,43,22,6,8,15,17
1,0,96,108,34,89,0.382,6,18,0.33299999999999996,22,28,0.7859999999999999,15,45,20,5,4,11,15,47,97,0.485,4,16,0.25,10,16,0.625,16,52,27,5,7,10,22
0,0,82,108,33,95,0.34700000000000003,8,26,0.308,8,12,0.667,14,44,20,8,3,9,13,48,95,0.505,7,19,0.368,5,6,0.833,9,53,27,8,4,12,11
0,0,99,105,38,84,0.452,8,28,0.28600000000000003,15,26,0.5770000000000001,13,50,21,6,5,20,23,36,88,0.409,11,37,0.297,22,30,0.733,13,40,17,8,6,9,27
0,1,103,101,42,93,0.452,6,25,0.24,13,17,0.765,12,39,29,7,6,10,15,40,81,0.494,9,20,0.45,12,16,0.75,7,42,28,5,8,15,20
1,1,102,94,38,84,0.452,10,30,0.33299999999999996,16,23,0.696,13,44,24,5,4,14,14,38,80,0.475,7,18,0.389,11,17,0.647,11,39,17,8,1,14,23
1,1,88,86,31,78,0.397,9,28,0.321,17,27,0.63,10,43,21,4,6,8,16,34,86,0.395,6,17,0.353,12,17,0.706,14,49,11,4,5,10,23
0,0,80,112,33,85,0.38799999999999996,9,30,0.3,5,6,0.833,6,39,28,6,6,14,23,42,89,0.47200000000000003,3,19,0.158,25,31,0.8059999999999999,15,56,26,7,4,8,11
1,0,107,123,38,85,0.447,8,24,0.33299999999999996,23,30,0.767,12,39,20,2,5,9,19,45,87,0.517,13,23,0.565,20,26,0.769,10,45,27,8,5,6,23
1,0,74,87,26,78,0.33299999999999996,8,20,0.4,14,19,0.737,8,43,13,11,6,12,18,33,81,0.40700000000000003,7,28,0.25,14,16,0.875,12,52,19,9,7,15,18
0,1,119,117,46,86,0.535,11,24,0.45799999999999996,16,20,0.8,8,38,24,4,7,9,20,47,92,0.511,7,25,0.28,16,26,0.615,12,42,22,4,6,10,19
0,0,69,88,27,84,0.321,5,25,0.2,10,13,0.769,9,52,12,3,5,14,17,35,90,0.389,8,25,0.32,10,10,1.0,7,49,22,9,9,9,14
1,1,89,82,34,88,0.386,10,27,0.37,11,19,0.579,13,50,17,7,7,12,15,30,82,0.366,7,21,0.33299999999999996,15,19,0.789,9,48,19,5,9,17,16
1,1,95,87,34,78,0.436,8,21,0.381,19,22,0.8640000000000001,10,50,17,6,8,19,21,26,77,0.33799999999999997,13,28,0.46399999999999997,22,27,0.815,5,34,13,8,5,13,16
0,0,89,93,32,77,0.41600000000000004,7,25,0.28,18,24,0.75,10,54,21,8,5,24,18,35,86,0.40700000000000003,8,29,0.276,15,21,0.7140000000000001,7,37,25,16,9,13,22
1,0,87,92,33,91,0.363,7,25,0.28,14,23,0.609,11,44,17,9,8,11,19,33,73,0.452,9,22,0.409,17,22,0.773,6,44,15,6,7,17,20
1,0,91,94,35,80,0.43799999999999994,7,23,0.304,14,20,0.7,14,49,18,5,7,19,16,40,88,0.455,6,29,0.207,8,10,0.8,7,37,26,10,4,11,17
1,0,96,104,38,92,0.413,7,28,0.25,13,17,0.765,10,46,24,6,5,7,17,41,86,0.47700000000000004,8,24,0.33299999999999996,14,20,0.7,10,53,24,6,6,11,16
0,1,95,83,39,86,0.45299999999999996,6,15,0.4,11,12,0.917,9,40,25,12,4,13,21,28,76,0.368,5,20,0.25,22,26,0.846,10,45,19,9,4,18,17
0,0,94,95,33,74,0.446,6,24,0.25,22,31,0.71,7,42,15,5,9,17,19,33,79,0.418,7,18,0.389,22,28,0.7859999999999999,8,39,18,9,9,10,25
0,1,105,88,37,78,0.474,13,26,0.5,18,26,0.6920000000000001,7,47,24,8,3,10,20,36,95,0.379,9,32,0.281,7,10,0.7,15,46,24,3,6,10,18
0,1,98,92,42,79,0.532,7,23,0.304,7,14,0.5,4,39,23,8,7,10,11,38,86,0.442,10,27,0.37,6,13,0.462,10,44,16,8,3,12,12
0,1,124,116,43,83,0.518,12,26,0.462,26,36,0.722,8,43,24,7,12,11,18,44,93,0.473,11,23,0.478,17,24,0.708,10,42,20,5,2,10,25
1,0,87,117,30,81,0.37,11,26,0.423,16,24,0.667,8,37,20,7,1,12,26,43,84,0.512,7,26,0.26899999999999996,24,29,0.828,11,49,29,7,4,10,19
